"color","cut","clarity","price","city","depth","carat","table","x","y","z"
E,Fair,SI1,829,Madrid,67.9,0.47,56.0,4.84,4.65,3.24
I,Premium,VS2,17826,Paris,60.3,2.01,58.0,8.22,8.16,4.94
E,Ideal,SI1,6346,Kimberly,61.1,1.01,57.0,6.5,6.47,3.96
E,Very Good,SI2,10080,Antwerp,63.5,1.5,60.0,7.25,7.21,4.59
E,Ideal,SI2,11149,Luxembourg,62.3,1.59,55.0,7.48,7.52,4.67
G,Ideal,VS2,16316,Dubai,62.9,1.74,57.0,7.68,7.64,4.82
D,Ideal,VVS2,1295,New York City,62.3,0.41,55.0,4.76,4.77,2.97
G,Ideal,VS2,2578,Las Vegas,62.7,0.72,56.0,5.72,5.76,3.6
E,Very Good,IF,10954,Kimberly,63.1,1.0,56.0,6.32,6.39,4.01
D,Premium,VS2,846,Las Vegas,61.8,0.41,58.0,4.76,4.79,2.95
G,Very Good,VVS1,2070,Antwerp,63.3,0.5,56.0,5.1,5.07,3.22
E,Ideal,VS2,872,Antwerp,61.6,0.31,56.0,4.4,4.37,2.7
G,Ideal,VS2,7413,Paris,62.6,1.2,57.0,6.74,6.81,4.24
J,Very Good,VS1,616,Surat,61.0,0.39,62.0,4.66,4.71,2.86
J,Ideal,VVS1,953,Antwerp,61.8,0.46,56.0,4.93,4.97,3.06
F,Good,SI1,1897,Madrid,60.2,0.67,61.0,5.64,5.69,3.41
G,Premium,SI1,5600,Madrid,60.9,1.13,58.0,6.75,6.72,4.1
F,Good,SI1,4369,Las Vegas,65.5,1.01,58.0,6.11,6.25,4.05
D,Very Good,VVS2,548,Surat,62.1,0.25,57.0,4.02,4.07,2.51
D,Ideal,VS2,1882,Tel Aviv,60.9,0.51,56.0,5.19,5.16,3.15
G,Good,SI2,3282,Kimberly,63.6,0.91,59.0,6.15,6.11,3.9
F,Very Good,VVS1,10204,Zurich,61.0,1.08,58.0,6.64,6.61,4.04
G,Very Good,VS1,2473,Tel Aviv,59.3,0.7,62.0,5.74,5.8,3.42
G,Premium,VVS2,5259,Amsterdam,61.8,0.91,58.0,6.16,6.24,3.83
F,Premium,SI2,7441,Madrid,61.8,1.51,59.0,7.36,7.3,4.53
E,Ideal,VS2,1819,New York City,62.6,0.56,57.0,5.26,5.29,3.3
F,Premium,VS2,776,Paris,62.2,0.3,58.0,4.31,4.28,2.67
G,Premium,VS1,787,Madrid,62.5,0.3,59.0,4.32,4.25,2.68
G,Premium,VS2,4834,Madrid,62.2,0.93,59.0,6.21,6.26,3.88
F,Very Good,SI1,3267,London,61.6,0.8,56.0,5.96,6.0,3.68
E,Very Good,VVS2,814,Tel Aviv,60.7,0.3,55.0,4.35,4.36,2.65
G,Ideal,VVS2,3126,Antwerp,61.2,0.72,57.0,5.72,5.81,3.53
F,Very Good,SI1,2914,Tel Aviv,63.5,0.8,55.0,5.86,5.89,3.73
F,Premium,SI1,2756,Tel Aviv,59.8,0.71,62.0,5.74,5.73,3.43
H,Ideal,SI2,9104,Zurich,62.4,1.5,57.0,7.29,7.33,4.56
J,Premium,VVS1,3617,Kimberly,62.0,0.9,58.0,6.19,6.11,3.81
F,Fair,SI1,5292,Madrid,64.8,1.0,59.0,6.29,6.24,4.06
G,Premium,VS2,867,New York City,62.3,0.43,58.0,4.81,4.85,3.01
G,Very Good,VS1,17219,Antwerp,61.8,1.7,53.0,7.63,7.67,4.73
E,Premium,SI2,3914,London,61.6,1.04,58.0,6.52,6.45,3.99
J,Premium,SI2,17209,London,58.3,2.6,61.0,9.05,8.94,5.24
E,Very Good,SI1,705,Paris,62.8,0.41,57.0,4.71,4.75,2.97
D,Ideal,VS1,704,New York City,62.1,0.31,56.0,4.3,4.36,2.69
G,Premium,SI1,3879,Tel Aviv,60.2,0.9,59.0,6.27,6.23,3.76
G,Premium,VS2,743,Madrid,60.8,0.33,62.0,4.46,4.42,2.7
D,Ideal,SI2,2853,Paris,62.8,0.79,57.0,5.9,5.85,3.69
E,Very Good,SI1,596,Antwerp,59.6,0.34,57.0,4.52,4.61,2.72
D,Premium,SI2,3604,Kimberly,58.0,1.01,60.0,6.58,6.53,3.8
D,Very Good,SI1,589,New York City,62.8,0.32,56.0,4.34,4.35,2.73
F,Ideal,SI2,1335,New York City,60.3,0.53,56.0,5.25,5.3,3.18
D,Good,SI2,2367,Paris,63.7,0.7,58.0,5.6,5.64,3.58
I,Very Good,VS2,3338,Antwerp,62.0,0.9,63.0,6.13,6.03,3.77
D,Very Good,VVS1,1015,Paris,61.6,0.32,54.0,4.4,4.43,2.72
F,Ideal,IF,914,Kimberly,62.1,0.31,54.0,4.38,4.41,2.73
H,Ideal,SI1,1919,Luxembourg,60.6,0.7,57.0,5.73,5.78,3.49
D,Premium,SI1,4350,Antwerp,62.3,0.92,58.0,6.21,6.27,3.89
D,Ideal,SI2,5021,Kimberly,62.5,1.03,55.0,6.41,6.48,4.03
F,Good,SI2,16231,Zurich,58.1,2.01,64.0,8.23,8.19,4.77
F,Premium,VS1,11392,Antwerp,62.5,1.3,58.0,6.97,6.94,4.35
F,Good,SI1,687,Kimberly,63.1,0.4,58.0,4.66,4.69,2.95
E,Ideal,VS2,680,Amsterdam,62.4,0.31,54.0,4.31,4.35,2.7
F,Fair,SI1,4276,Las Vegas,65.9,1.01,58.0,6.16,6.1,4.04
G,Ideal,VVS2,794,Kimberly,61.7,0.36,54.0,4.59,4.62,2.84
F,Ideal,VS1,3284,Antwerp,60.4,0.71,57.0,5.78,5.81,3.5
F,Ideal,SI1,874,Madrid,61.0,0.38,56.0,4.7,4.73,2.87
G,Premium,SI1,3407,Tel Aviv,60.6,0.9,60.0,6.22,6.15,3.75
E,Very Good,SI1,672,Paris,63.1,0.32,56.0,4.37,4.34,2.75
G,Ideal,VS1,1008,Kimberly,61.1,0.43,56.0,4.9,4.86,2.98
G,Ideal,IF,1044,Zurich,61.4,0.35,55.0,4.56,4.59,2.81
E,Ideal,VS1,1087,Surat,61.4,0.37,55.0,4.62,4.66,2.85
I,Premium,VS2,3918,Paris,62.7,1.0,62.0,6.32,6.27,3.95
D,Ideal,VS1,713,Kimberly,61.6,0.31,55.0,4.3,4.33,2.66
E,Very Good,VS1,413,Kimberly,60.6,0.27,59.0,4.19,4.22,2.55
E,Ideal,VS1,734,Kimberly,61.4,0.31,57.0,4.32,4.37,2.67
G,Fair,VVS2,1367,Luxembourg,65.0,0.48,54.0,4.95,4.9,3.2
G,Ideal,VS1,625,Surat,61.5,0.31,56.0,4.39,4.43,2.71
F,Ideal,VS2,776,Amsterdam,61.8,0.3,57.0,4.33,4.31,2.67
H,Good,SI2,2883,London,62.7,0.9,64.0,6.09,6.0,3.79
E,Ideal,VVS2,766,Paris,62.3,0.3,57.0,4.29,4.32,2.68
H,Very Good,VVS2,600,Luxembourg,63.3,0.26,58.0,4.08,4.04,2.57
E,Ideal,VVS1,946,Kimberly,61.0,0.34,57.0,4.53,4.55,2.77
F,Premium,SI2,434,Luxembourg,62.3,0.33,58.0,4.4,4.43,2.75
I,Very Good,VS2,2185,Kimberly,62.8,0.71,59.0,5.64,5.67,3.55
I,Premium,VS2,4452,New York City,61.6,1.0,59.0,6.47,6.39,3.96
E,Ideal,VS2,1020,Antwerp,61.9,0.4,54.0,4.74,4.73,2.93
H,Premium,SI1,4368,Surat,60.4,1.04,59.0,6.59,6.55,3.97
G,Fair,SI1,4163,Tel Aviv,63.1,1.0,59.0,6.32,6.27,3.97
G,Ideal,VVS2,2064,Dubai,61.2,0.55,55.8,5.27,5.33,3.24
G,Ideal,VVS2,901,Las Vegas,62.6,0.33,53.0,4.45,4.43,2.78
G,Premium,SI2,16314,Paris,62.0,2.65,61.0,8.82,8.75,5.45
G,Ideal,VS1,706,London,62.6,0.35,54.0,4.52,4.56,2.84
F,Ideal,VS1,3759,Antwerp,61.7,0.72,56.0,5.75,5.78,3.56
G,Ideal,VS1,4372,Paris,61.4,0.84,56.0,6.04,6.15,3.74
H,Ideal,VS2,1412,Las Vegas,62.5,0.53,56.0,5.19,5.15,3.23
E,Premium,SI1,11795,Kimberly,60.0,1.5,58.0,7.5,7.47,4.49
H,Ideal,IF,1243,New York City,61.8,0.41,55.0,4.79,4.76,2.95
I,Ideal,VVS1,875,Madrid,61.7,0.41,57.0,4.73,4.76,2.93
H,Ideal,SI1,7729,Madrid,61.5,1.52,57.0,7.39,7.31,4.52
I,Very Good,SI1,1041,Surat,60.3,0.52,61.0,5.14,5.2,3.12
I,Very Good,VS2,3570,London,63.2,0.9,56.0,6.15,6.09,3.87
H,Ideal,VS1,1582,London,62.5,0.52,58.0,5.14,5.17,3.22
G,Good,SI1,2872,Amsterdam,65.1,0.84,55.0,5.88,5.97,3.86
I,Premium,VS2,4372,Zurich,61.6,1.0,59.0,6.39,6.47,3.96
H,Very Good,SI2,8174,Luxembourg,62.5,1.55,61.0,7.31,7.34,4.58
F,Ideal,VVS1,2380,Surat,61.9,0.55,55.0,5.27,5.3,3.27
E,Very Good,VVS1,530,Paris,61.1,0.23,60.0,3.95,4.01,2.43
G,Ideal,VVS2,9457,New York City,61.8,1.15,56.0,6.72,6.75,4.16
G,Very Good,SI1,4520,New York City,63.4,1.2,55.0,6.72,6.65,4.24
G,Premium,SI1,11255,Amsterdam,62.6,1.51,58.0,7.3,7.27,4.56
E,Very Good,SI2,4972,New York City,62.1,1.06,56.0,6.52,6.59,4.07
D,Very Good,VS2,7422,Surat,61.9,1.01,59.0,6.35,6.44,3.96
F,Ideal,SI2,2495,Paris,62.0,0.8,57.0,5.96,5.98,3.7
H,Very Good,VS2,4821,London,62.6,1.01,61.0,6.35,6.4,3.99
G,Fair,I1,7854,Dubai,64.7,2.5,57.0,8.48,8.44,5.47
G,Ideal,VS1,645,Antwerp,61.6,0.32,57.0,4.38,4.42,2.71
I,Ideal,VVS2,827,Surat,61.7,0.41,56.0,4.77,4.8,2.95
D,Ideal,SI1,709,Kimberly,62.2,0.3,55.0,4.33,4.29,2.68
I,Premium,SI2,3818,London,62.6,1.01,58.0,6.43,6.38,4.01
F,Premium,SI2,9374,Surat,61.4,1.5,60.0,7.34,7.28,4.49
E,Ideal,VS1,3888,Tel Aviv,62.2,0.74,55.0,5.79,5.82,3.61
E,Premium,VS2,3078,Surat,62.5,0.72,59.0,5.7,5.73,3.57
E,Very Good,SI2,3139,Madrid,59.5,0.9,61.0,6.24,6.3,3.73
F,Ideal,SI2,663,Las Vegas,62.1,0.42,56.0,4.8,4.83,2.99
H,Ideal,IF,789,Dubai,62.2,0.31,54.0,4.38,4.4,2.73
H,Ideal,SI2,2372,Surat,61.3,0.72,56.0,5.75,5.77,3.53
H,Good,SI1,12121,Surat,63.7,2.1,61.0,8.1,8.07,5.15
I,Very Good,SI2,15245,Las Vegas,63.1,2.07,57.0,8.2,8.1,5.14
H,Premium,VS1,5744,Antwerp,61.2,1.03,58.0,6.52,6.55,4.0
H,Very Good,SI1,4619,London,58.5,1.01,56.0,6.6,6.69,3.89
F,Premium,SI1,1748,Antwerp,61.4,0.65,57.8,5.5,5.56,3.39
D,Ideal,VS1,1131,Antwerp,61.7,0.36,55.0,4.58,4.6,2.83
F,Ideal,SI1,3610,Madrid,60.8,0.75,57.0,5.87,5.9,3.58
I,Ideal,VS2,7209,New York City,60.8,1.32,57.0,7.07,7.02,4.28
G,Very Good,VS1,13963,Madrid,62.8,1.58,57.0,7.34,7.4,4.63
D,Premium,SI2,4381,Kimberly,62.1,1.02,57.0,6.41,6.37,3.97
E,Very Good,SI1,725,Antwerp,60.4,0.41,58.0,4.75,4.79,2.88
G,Good,SI1,4678,Kimberly,64.2,1.18,62.0,6.6,6.51,4.25
F,Fair,SI2,5919,Las Vegas,65.4,1.51,56.0,7.2,7.08,4.67
H,Premium,SI1,1132,Tel Aviv,59.4,0.53,60.0,5.24,5.26,3.12
D,Ideal,SI1,6191,Amsterdam,62.3,1.02,57.0,6.41,6.44,4.0
D,Good,SI1,1821,Kimberly,63.7,0.59,56.0,5.35,5.32,3.4
F,Ideal,VVS2,786,Zurich,61.2,0.32,57.0,4.4,4.43,2.7
F,Premium,SI1,945,Luxembourg,62.3,0.4,57.0,4.74,4.67,2.93
D,Ideal,SI1,2954,Las Vegas,61.9,0.72,55.0,5.75,5.78,3.57
H,Ideal,IF,1905,Tel Aviv,62.1,0.51,55.0,5.14,5.2,3.21
D,Very Good,VVS2,478,Las Vegas,61.9,0.24,58.0,4.02,4.03,2.49
G,Very Good,VVS2,692,Las Vegas,61.4,0.33,55.0,4.46,4.5,2.75
F,Ideal,VVS1,2682,Tel Aviv,62.5,0.57,56.0,5.27,5.32,3.31
J,Ideal,VS1,17891,Las Vegas,62.5,2.32,54.5,8.44,8.47,5.28
D,Premium,SI1,990,Kimberly,61.6,0.4,58.0,4.73,4.69,2.9
H,Ideal,VS1,8583,Luxembourg,61.5,1.31,56.0,7.06,7.0,4.32
E,Ideal,SI1,1777,Antwerp,60.3,0.54,57.0,5.28,5.3,3.19
G,Premium,VS1,833,Surat,61.9,0.38,58.0,4.62,4.66,2.87
E,Very Good,VVS1,1006,Antwerp,61.8,0.3,56.0,4.29,4.32,2.66
E,Premium,SI1,651,Zurich,63.0,0.31,58.0,4.31,4.29,2.71
E,Good,SI1,5646,New York City,64.0,1.01,56.0,6.33,6.36,4.06
H,Very Good,VS2,11068,Surat,60.9,1.51,57.0,7.39,7.43,4.51
F,Premium,SI2,1073,Las Vegas,62.7,0.52,57.0,5.11,5.07,3.19
H,Ideal,SI1,6254,Madrid,61.3,1.24,57.0,6.95,6.89,4.24
E,Premium,VS2,1629,Tel Aviv,61.4,0.5,58.0,5.1,5.07,3.12
J,Ideal,SI1,1853,Zurich,61.7,0.72,56.0,5.77,5.81,3.57
H,Very Good,SI2,4413,Las Vegas,62.8,1.07,57.0,6.5,6.58,4.11
E,Very Good,SI2,3070,Kimberly,62.6,0.8,59.0,5.84,5.91,3.68
F,Premium,VS2,2842,Las Vegas,58.7,0.7,61.0,5.8,5.72,3.38
F,Ideal,VS2,3008,Dubai,61.3,0.7,57.0,5.7,5.76,3.51
H,Ideal,SI1,6025,Surat,62.6,1.21,53.0,6.87,6.8,4.28
H,Premium,VVS2,1662,Dubai,60.6,0.54,60.0,5.29,5.31,3.21
F,Ideal,SI2,496,Paris,60.6,0.29,59.0,4.31,4.37,2.63
D,Ideal,SI1,2799,Tel Aviv,61.9,0.78,57.0,5.91,5.86,3.64
G,Ideal,VS1,645,New York City,61.2,0.32,56.0,4.41,4.45,2.71
G,Ideal,VVS1,5978,Antwerp,62.8,0.9,56.0,6.12,6.18,3.86
E,Very Good,SI1,2604,Amsterdam,62.3,0.7,57.0,5.63,5.7,3.53
D,Ideal,VVS1,14667,Surat,61.6,1.11,55.0,6.7,6.68,4.12
G,Very Good,SI2,3489,Kimberly,61.4,0.9,58.0,6.16,6.21,3.8
E,Good,VS1,1932,Zurich,61.1,0.5,58.2,5.08,5.12,3.11
E,Ideal,VS1,747,Amsterdam,61.4,0.36,56.0,4.59,4.63,2.83
E,Premium,VS1,11088,Antwerp,61.5,1.25,59.0,6.95,6.91,4.26
I,Ideal,VS1,2842,Zurich,62.6,0.8,54.0,5.92,5.96,3.72
G,Ideal,SI2,4327,Madrid,59.6,1.01,57.0,6.59,6.54,3.91
F,Ideal,VVS1,1028,Dubai,61.0,0.36,55.0,4.6,4.62,2.81
E,Very Good,SI2,3963,Amsterdam,62.0,0.94,60.0,6.19,6.22,3.85
F,Premium,SI1,5292,Antwerp,62.3,1.0,59.0,6.43,6.37,3.99
G,Ideal,VS1,1721,Dubai,61.9,0.53,56.0,5.17,5.2,3.21
H,Very Good,VVS2,12648,Antwerp,62.8,1.52,56.0,7.3,7.32,4.59
E,Very Good,VS2,6666,Kimberly,62.9,1.01,58.0,6.36,6.39,4.01
G,Ideal,IF,974,Paris,61.3,0.34,56.0,4.52,4.55,2.78
J,Premium,VS1,6334,Amsterdam,61.6,1.3,56.0,7.06,7.0,4.33
E,Ideal,VVS2,2534,Zurich,61.9,0.57,55.0,5.34,5.36,3.31
E,Very Good,SI1,5461,Antwerp,60.0,1.01,60.0,6.43,6.51,3.88
I,Ideal,VS2,3475,Dubai,61.7,0.84,55.0,6.07,6.11,3.76
I,Ideal,VS1,2266,Surat,62.0,0.71,58.0,5.75,5.72,3.55
F,Ideal,SI1,550,Antwerp,60.9,0.3,55.0,4.34,4.38,2.66
H,Ideal,VVS2,686,Kimberly,61.8,0.34,54.0,4.47,4.49,2.77
E,Very Good,VVS2,622,Las Vegas,63.0,0.27,56.0,4.12,4.14,2.6
E,Very Good,VS2,2922,Surat,63.3,0.71,59.0,5.62,5.66,3.57
F,Premium,VS2,968,Luxembourg,61.1,0.43,57.0,4.9,4.86,2.98
H,Good,VS2,4156,Surat,61.5,0.9,61.0,6.15,6.24,3.81
H,Very Good,VS2,11627,Kimberly,59.4,1.61,58.0,7.64,7.74,4.57
F,Ideal,SI1,12182,London,62.0,1.52,54.0,7.44,7.36,4.59
H,Premium,VS2,628,Antwerp,59.7,0.31,61.0,4.42,4.39,2.63
H,Good,VS1,435,Surat,57.5,0.31,60.0,4.46,4.51,2.58
D,Premium,SI1,2484,Antwerp,61.3,0.75,59.0,5.89,5.82,3.59
E,Very Good,SI2,6130,Dubai,61.4,1.2,58.0,6.81,6.88,4.2
I,Ideal,VVS1,511,Dubai,62.1,0.31,54.0,4.34,4.39,2.71
F,Ideal,VS2,625,Paris,62.6,0.31,55.0,4.29,4.33,2.7
D,Good,VS1,653,Paris,61.7,0.31,61.0,4.32,4.34,2.67
E,Premium,VS1,9263,London,59.8,1.19,58.0,7.01,6.94,4.17
D,Premium,VS1,979,Madrid,61.6,0.3,57.0,4.33,4.3,2.66
H,Ideal,VS2,2398,New York City,62.4,0.7,56.0,5.63,5.72,3.54
G,Ideal,VVS1,842,Surat,61.1,0.32,57.0,4.41,4.43,2.7
H,Ideal,SI1,3011,New York City,61.9,0.75,56.0,5.81,5.85,3.61
H,Very Good,VS2,710,Surat,61.6,0.38,56.0,4.68,4.71,2.89
F,Very Good,VVS1,608,Kimberly,62.5,0.24,55.0,3.98,4.02,2.49
G,Ideal,VS1,8584,Dubai,61.9,1.24,54.0,6.89,6.92,4.27
F,Ideal,VS1,900,Surat,61.3,0.32,56.0,4.44,4.4,2.71
D,Very Good,SI1,6063,Zurich,59.3,1.05,58.0,6.68,6.74,3.98
I,Ideal,SI1,537,Dubai,62.2,0.31,56.0,4.37,4.34,2.71
G,Ideal,SI2,450,Kimberly,61.8,0.32,55.0,4.4,4.43,2.73
E,Ideal,VVS2,1243,Tel Aviv,60.9,0.41,56.0,4.81,4.75,2.91
G,Good,SI1,3816,Kimberly,62.2,0.9,62.5,6.08,6.1,3.78
G,Ideal,VVS1,747,Antwerp,60.4,0.3,58.0,4.36,4.38,2.64
E,Ideal,VS2,7168,Antwerp,59.6,1.0,57.0,6.43,6.42,3.83
I,Very Good,SI1,3271,Tel Aviv,61.4,0.9,55.0,6.19,6.28,3.83
D,Ideal,VS2,942,Antwerp,62.2,0.31,55.0,4.34,4.31,2.69
E,Very Good,SI2,2975,Tel Aviv,63.3,0.82,56.0,5.99,5.95,3.78
H,Good,SI2,473,Zurich,63.9,0.3,56.0,4.27,4.24,2.72
G,Ideal,SI1,3089,Dubai,60.9,0.73,57.0,5.81,5.85,3.55
E,Ideal,VVS2,1135,London,60.8,0.43,57.0,4.9,4.87,2.97
H,Premium,SI1,10012,Surat,61.3,1.51,60.0,7.33,7.29,4.48
G,Ideal,VS2,1698,Surat,62.1,0.56,56.0,5.31,5.29,3.29
H,Ideal,VS2,1641,Tel Aviv,62.1,0.63,54.0,5.51,5.54,3.43
E,Good,SI1,4435,New York City,63.1,1.0,64.0,6.31,6.25,3.96
H,Ideal,VVS2,802,Kimberly,62.2,0.31,57.0,4.36,4.32,2.7
F,Very Good,VS2,645,London,61.1,0.32,58.0,4.39,4.42,2.69
E,Very Good,VVS2,680,Kimberly,63.3,0.23,56.0,3.92,3.88,2.47
H,Ideal,SI2,4563,Madrid,60.9,1.06,56.0,6.58,6.63,4.02
J,Good,SI1,2855,Surat,63.6,1.03,57.0,6.38,6.29,4.03
E,Ideal,SI1,1613,Luxembourg,60.6,0.6,57.0,5.43,5.47,3.3
H,Premium,SI1,5123,Antwerp,61.5,1.07,57.0,6.63,6.55,4.05
J,Very Good,VS2,7418,London,60.2,1.51,59.0,7.35,7.36,4.43
E,Ideal,VS2,3223,Surat,61.3,0.72,57.0,5.76,5.79,3.54
D,Ideal,VS1,8658,Luxembourg,61.2,1.02,56.0,6.48,6.53,3.98
I,Ideal,VVS2,720,Zurich,61.5,0.32,56.0,4.42,4.4,2.71
G,Good,VS1,721,Las Vegas,58.6,0.35,60.5,4.62,4.68,2.72
E,Very Good,SI2,4414,Antwerp,58.7,1.02,63.0,6.61,6.55,3.86
I,Very Good,SI2,15394,Kimberly,63.5,2.54,58.0,8.67,8.56,5.47
E,Premium,VS2,680,Surat,61.6,0.31,59.0,4.32,4.35,2.67
H,Premium,VVS1,1024,Paris,59.9,0.35,59.0,4.61,4.57,2.75
I,Very Good,VVS1,596,New York City,60.9,0.32,57.0,4.45,4.48,2.71
D,Premium,VS2,1002,Tel Aviv,60.7,0.33,58.0,4.5,4.46,2.72
F,Premium,SI2,4171,Kimberly,62.4,0.95,59.0,6.26,6.21,3.89
E,Ideal,VVS1,967,Luxembourg,61.9,0.35,56.0,4.55,4.53,2.81
I,Very Good,VS1,4858,Las Vegas,59.7,1.01,58.0,6.53,6.57,3.91
I,Very Good,SI2,1087,Las Vegas,61.5,0.55,60.0,5.23,5.25,3.22
F,Very Good,VS2,6289,Kimberly,63.7,1.01,56.0,6.29,6.34,4.02
F,Ideal,SI2,4591,Dubai,61.7,1.14,56.0,6.71,6.67,4.13
G,Very Good,VVS1,566,Antwerp,60.1,0.27,58.0,4.21,4.23,2.53
J,Premium,SI1,13930,Dubai,62.9,2.1,58.0,8.15,8.09,5.11
G,Fair,SI1,4646,New York City,60.4,1.01,62.0,6.31,6.34,3.82
G,Premium,SI2,3599,Zurich,60.7,1.05,61.0,6.56,6.52,3.97
H,Good,SI1,7862,Tel Aviv,63.7,1.56,57.0,7.34,7.25,4.65
E,Ideal,VS2,1781,Madrid,62.4,0.51,57.0,5.13,5.1,3.19
E,Ideal,IF,1018,Las Vegas,62.9,0.32,54.0,4.37,4.41,2.76
H,Very Good,SI2,3408,Las Vegas,58.4,0.91,63.0,6.29,6.24,3.66
D,Premium,SI2,4946,Tel Aviv,59.7,1.21,58.0,7.06,6.96,4.19
D,Ideal,SI1,1814,Antwerp,60.5,0.56,57.0,5.36,5.31,3.23
E,Ideal,SI2,1357,New York City,58.8,0.57,57.0,5.49,5.46,3.22
F,Ideal,VS2,666,Luxembourg,60.5,0.33,55.0,4.47,4.55,2.73
I,Ideal,SI2,12687,New York City,61.4,2.54,54.0,8.83,8.78,5.41
J,Good,SI1,4255,Dubai,63.9,1.26,58.0,6.78,6.74,4.32
E,Premium,SI1,1369,Antwerp,60.3,0.52,58.0,5.2,5.24,3.15
G,Very Good,SI2,6603,London,62.0,1.33,59.0,7.1,7.04,4.38
D,Good,SI2,622,Dubai,63.8,0.4,54.0,4.7,4.73,3.01
E,Very Good,SI1,407,Amsterdam,61.2,0.27,57.0,4.2,4.23,2.58
F,Ideal,SI2,1175,Antwerp,62.3,0.55,57.0,5.22,5.27,3.27
E,Fair,SI1,15330,London,65.7,2.0,60.0,7.7,7.8,5.09
E,Ideal,VVS2,741,Surat,61.0,0.33,54.0,4.49,4.52,2.75
J,Ideal,SI2,7155,Antwerp,62.1,1.59,54.0,7.51,7.44,4.64
E,Very Good,VVS2,485,Paris,58.9,0.24,63.0,4.05,4.07,2.39
H,Very Good,VS1,765,Kimberly,63.1,0.34,57.0,4.44,4.4,2.79
I,Good,VS1,969,Dubai,63.7,0.41,57.0,4.72,4.67,2.99
E,Premium,VS1,1758,London,62.0,0.51,61.0,5.14,5.11,3.18
H,Premium,VVS2,12013,Luxembourg,63.0,1.52,60.0,7.3,7.25,4.58
G,Good,SI1,3574,Dubai,63.2,0.9,62.0,6.09,6.19,3.88
G,Premium,VS2,1087,Surat,60.6,0.42,58.0,4.88,4.83,2.94
I,Good,SI1,8313,Paris,63.7,1.51,58.0,7.22,7.26,4.61
F,Very Good,SI1,904,Tel Aviv,63.4,0.41,57.0,4.74,4.73,3.0
G,Premium,VS2,5999,Zurich,62.4,1.01,58.0,6.38,6.41,3.99
F,Ideal,VS2,863,Amsterdam,60.9,0.41,57.0,4.74,4.78,2.9
H,Very Good,VS2,16239,Antwerp,63.3,2.2,58.0,8.25,8.22,5.21
E,Very Good,IF,10029,New York City,61.7,1.02,60.0,6.38,6.52,3.98
E,Very Good,VS2,14592,Antwerp,59.5,1.5,58.0,7.44,7.48,4.44
H,Fair,SI2,5000,Madrid,66.0,1.5,64.0,7.1,6.97,4.64
G,Premium,I1,4345,London,62.3,1.52,60.0,7.34,7.28,4.56
F,Ideal,VVS1,2555,Kimberly,62.3,0.57,55.0,5.31,5.32,3.31
F,Ideal,VS2,1666,Dubai,62.1,0.58,56.0,5.33,5.37,3.32
G,Ideal,IF,5879,Kimberly,62.2,0.93,58.0,6.25,6.22,3.88
E,Premium,VS2,984,Kimberly,60.9,0.35,59.0,4.56,4.54,2.77
D,Ideal,VS1,1109,Kimberly,60.9,0.34,56.0,4.56,4.51,2.76
G,Ideal,SI1,11192,Tel Aviv,61.2,1.61,55.0,7.57,7.62,4.65
F,Very Good,VS2,13012,Antwerp,63.7,1.51,60.0,7.2,7.24,4.6
E,Premium,SI2,8190,Zurich,61.7,1.5,58.0,7.2,7.17,4.43
H,Premium,SI1,13387,Surat,60.6,2.01,59.0,8.23,8.17,4.97
G,Good,VVS2,6559,Antwerp,63.8,1.21,55.0,6.74,6.65,4.28
E,Very Good,VS1,6997,Amsterdam,62.1,1.01,58.0,6.39,6.45,3.99
E,Good,VS1,2973,Tel Aviv,59.8,0.7,62.0,5.74,5.8,3.45
H,Ideal,VS2,491,Zurich,61.9,0.3,57.0,4.28,4.31,2.66
G,Premium,VS1,6552,Surat,59.1,1.0,61.0,6.54,6.48,3.85
G,Ideal,VS1,899,Kimberly,61.9,0.41,57.0,4.76,4.81,2.96
F,Premium,VS2,13248,Kimberly,63.0,1.51,56.0,7.3,7.26,4.59
D,Very Good,VVS2,552,Tel Aviv,60.6,0.24,59.0,4.0,4.02,2.43
F,Ideal,SI1,2682,London,61.7,0.76,55.0,5.87,5.9,3.63
G,Good,VS2,12547,Zurich,57.8,1.57,60.0,7.66,7.6,4.41
E,Ideal,VS1,972,Zurich,61.6,0.32,57.0,4.39,4.35,2.69
D,Ideal,SI1,709,New York City,62.5,0.3,57.0,4.28,4.26,2.67
F,Premium,VS2,802,Antwerp,61.7,0.31,58.0,4.38,4.34,2.69
E,Ideal,VS2,928,Dubai,61.9,0.33,56.0,4.45,4.4,2.74
E,Very Good,SI2,10012,Antwerp,63.2,1.51,56.0,7.32,7.26,4.61
H,Premium,VS2,7732,Zurich,59.8,1.31,58.0,7.19,7.09,4.27
E,Ideal,SI2,13065,Paris,62.7,2.14,55.0,8.26,8.21,5.16
I,Good,VS2,9116,Zurich,63.7,1.51,58.0,7.23,7.21,4.6
G,Ideal,VS2,560,Madrid,61.6,0.32,54.0,4.4,4.43,2.72
G,Ideal,SI2,5743,New York City,62.6,1.17,55.0,6.74,6.78,4.23
I,Very Good,SI2,1105,Kimberly,60.5,0.51,56.0,5.23,5.25,3.17
E,Very Good,VVS2,789,Amsterdam,61.4,0.3,60.0,4.25,4.28,2.62
J,Ideal,SI1,5237,London,61.6,1.29,57.0,7.0,7.06,4.33
